	post	class	original_id
45	@KEEMSTAR Chinese Government blames USA for Corona Virus, claiming biological warfare against everyone  Every country turns against America  America collapses.  Iran decides to kamikaze into Israel before their own country collapses  They both destroy each other  China takes over the world	0	1237949644002508800
46	Why the fuck talking about coronavirus is a sensitive topic? #WuhanVirus #WuhanCoronavirusOutbreak	0	1230541564998406144
47	To all the Xbots that couldn’t control your fanboyism over the Coronavirus I thank you. Now when I thrash shit games Microsoft makes I have receipts of who’s truly toxic if you get triggered over it. I appreciate you all. https://t.co/A3kfp7NB4j	0	1230289831621746688
48	Asian Americans Rally Around #RacismIsAVirus Campaign to Combat Discrimination and Empower Communities https://t.co/OUFeK7LwSa https://t.co/NGl7XDoYIu	1	1246809264255098883
49	China is only winning in the Olympics because they made all the equipment.	0	1229655541074391040
50	Be America buy America, #MakeChinaPay , #ChinaIsAsshoe	2	1246444924813410305
51	I’m sure that bitch Carol Haskins has something to do with the #chinesevirus	0	1244451077187088384
52	Corona infected muslims of zamat a converted muslim organization trying to super spread Corona by spitting on police ,doctor, common people. @UN @who @ImranKhanPTI @CNN @BBC  #ChineseVirus19 #ChineseVirus	0	1245005769260404736
53	March 13th: 10% raise April 3rd: company announces 20% salary cut across the board until #WuhanVirus era is over... Fuck you 2020.	0	1246232455570501632
54	for the last fucking time.... CORONAVIRUS IS NO EXCUSE TO BE RACIST AGAINST ASIANS https://t.co/nBHTadCKzK	1	1238072679694864384
55	@papalati @maytriarc I didn‘t call her racist, I know she is a caring woman, but it is critical to suppose that this virus was born in a chinese lab and China released it to the world without any evidence. We have to fight this virus &amp; grow together as one human mankind and not pointing at others.	1	1244671929925025801
56	@mindmixradio @realDonaldTrump Niterz...outta here and the Chink virus can eff off!	2	1244844312371707904
57	@poeticdeIrey omg he probably gave her coronavirus with his annoying ass 😭	0	1230580319746764803
58	The People’s Collective for Justice and Liberation presents a Townhall on Anti-Asian Racism: Race, Struggle and Solidarity in the Time of A Global Pandemic Sat 3/28 from 3-5pm PST/6-8pm EST RSVP Here: https://t.co/imGx41tUfv  #Coronavirus #COVIDー19 #RacismIsAVirus	1	1242933361913536513
59	@LauferLarry @Yamiche Calling it a Chinese virus DOES affect peoples health! https://t.co/pijAKzpQfQ	0	1240330700210999298
60	I hope nobody actually needs to be told this, but: odds of someone catching the coronavirus from American/Canadian Chinese restaurants are about as slim as catching it from literally anyone else here. The idea that people should avoid them is not only unfair but fucking asinine.	1	1230288781649031169
61	@trinafang @60Mins America’s fault for the Chinese virus that started in China? Lololololololol keep telling yourself that Chinese propaganda. I can’t wait until we start producing all of our own goods and kick your ass to the curb	2	1245327460889231361
62	This is ridiculous! Surely the UN and every bloody country in the world needs to be asking “what the fuck are you thinking China?!”	0	1244160747191431169
63	ALERT: Don’t forgot2add these CommieNWODemLEFT anarchists who obv.H8 USA&amp;our hist.,culture, #Const. ,values, beliefs&amp;philo. 2your #boycott list! #Hollywood attks #Trump re  Coronavirus OO Addrss&amp;call 4unity&amp;calm&lt;=by none other than loudmouth #celebs ! #KAG https://t.co/OP8NjRUCJf	0	1238066182592376832
64	BY SPRAYING IS CHINA TELLING US THE #CORONAVIRUS IS NOT ONLY TRANSFERED HUMAN TO HUMAN BUT SURFACE TO HUMAN TOO? IF SO, THAT MEANS THAT ANY PRODUCTS COMING FROM CHINA CAN BE TRANSPORTING THE VIRUS IF HANDLED BE AN INFECTED PERSON. JUST FOOD FOR THOUGHT https://t.co/JDIgfBdyyv 01	0	1230495259320340480
65	@CountDankulaTV Calling it the China virus is a deliberate attempt to shift blame from a country’s own government t… https://t.co/wXK8uVBMbF	0	1240349128028274694
66	@kinderaddicts @BrandonBeckham_ @realDonaldTrump @BillyGraham @realMikeLindell He doesn’t care about equality...a wall... racist. He and Pence are homophobes. He calls covid the Chinese virus. It’s a slur. Get your head out of his ass on away from faux news. Are you even old enough to vote? You look like you’re 12.	1	1245446986670596096
67	@AmbassadorRice @mitchellreports The POTUS does not have an issue with black women. Enough of the race-baiting crap. The real racist is you Susan. And it is not racist-baiting to call it the Wuhan virus. Where did it originate Susan? Why are you pushing China's propaganda? China is our enemy. #RacistRice	2	1245085715584520192
68	All world killing animals through Machinary....eating live animals..now nature kill in return ..it’s time for thinking were we are Wrong 😑👽#Coronavirus	0	1237992535026323457
69	"WAKE UP AMERICA don't believe Fakenews Hysteria or doom&amp;gloom Lies by Drunken-pelosi &amp; Lying-schumer! Pres.Trump is Winning this ""Chinavirus"" War, America will not continue to hide at home as our Nation falls into dark despair &amp; begin to look like a 3rd World country...#KAG2020! https://t.co/ku4ygrTKBy"	0	1246097673486127106
70	@JiayangFan This is why my blood boils every time I hear @realDonaldTrump say “Chinese virus”. It makes me sick. #RacismIsAVirus	1	1240312504103743488
71	@HuXijin_GT Fuck China. China created this virus. Why are you hiding all of this? Fucking Chinese Government. #WuhanVirus #WuhanCoronaVirus #WHO #ChineseVirus  Pray for the world, not for China.	2	1244925063524048896
72	China is saving the world! 😡😡  Bitch Chinese Communist party and Chinese People spreaded #COVID2019  to more than 200 countries &amp; killing thousands of people  Fuck China and Fuck every chinese who eat bats  We will never Never Forgive You  #ChineseVirus19 #ChinaLiedPeopleDied https://t.co/CQJAMoDZiG	2	1246459846196473863
73	Don't let the chinese see this they will probably eat it and create som Venom shit type of virus	2	1246005612485500933
74	@techreview No pictures of non-Asians in your image database? None at all? #IamNotAVirus #COVID19	0	1238095243305779200
75	@RWPUSA @realDonaldTrump Although it doesn’t sound right to say “Chinese virus”, the origin of the Virus is animal (days, cats,bats,rats,snakes,etc) meat market in Wuhan.The virus transferred from animal to human, and then,from human to human. Thus,Chinese people should change their eating habits.	0	1245089203081424896
76	@ChangHeLoRi @fxccxi @Alston_Kwan @eyes_wisdom It was a chinese government biologixal attack meant to disrupt the world's economies, especially democratic or western ones! How else do you explain China rapid reopening for business while the rest of the world is not! China stands to benefit the most from this virus!	0	1246549361963794433
77	@dbongino I'm not sure what the final impact of the Chinese Wuhan Virus will be but it’s taught some people that they've been wrong on Trade &amp; Globalization  We can’t have supply chains for essential items located thousands of miles away in countries that hate us  #WuhanVirus  #CoronaVirus	0	1238090740271665153
78	@BroTaoist @ChicadeDireita @PeterSweden7 No your evil killer of communist China is to blame dickhead!! Your government is the worst for human atrocities. Your government killed your own people. Your government created the Chinese virus!	2	1244480562309599237
79	Thread. Saving this for the #andyouthoughtyourhotelwasbad? files... #CanaryIslands #Spain #ChinaVirus #coronavirus #wuhan #lockdown #hotels	0	1232336832064520193
80	Someone let Dwight be in charge of picking the healthcare plan I hope it includes some sort of Covid-19 idk about Meredith or Creed they are kinda dirty	0	1247130074517852160
81	Have you listened to the latest episode with @angiekayhong? Link in bio! #somedayisherepodcast #asianamericanpodcast #representationmatters #womeninleadership #ethnicidentityjourney #flattenthecurve #COVID19 #coronavirus #IamNotAVirus https://t.co/982xOfzPxn	0	1246105306226135042
82	Natey goosebump https://t.co/kBUSxEaPmZ	0	1241344647626022914
83	Next time someone calls me a chink. Thanks @AndrewYang for solving racism. 😇 https://t.co/8zC8tEg1hD	0	1245879772577771524
84	u know my mom had a point earlier that she brought up: what if this coronavirus shit is bioterrorism?	0	1230561678799958020
85	LATEST: 2 people who were on a quarantined cruise ship in Japan have died after contracting coronavirus. https://t.co/trjOuqKkA5	0	1230476748338319360
86	What the hell is it going to take for y'all to figure out that we are at war with China right now?! We are literally at War and you're worried about calling at the #ChineseVirus bunch of pussies.	2	1245902009724743680
87	@GovWhitmer It is inhumane that thousands of children in #Detroit live with no water while billionaires get our tax money. Turn the water on. This racist madness has been going on for years. It needs to stop now. #coronavirus	0	1234450907598917633
88	This has gone too much too far and too disgusting! Fk you for being so racist to Asian.	0	1235337135470895107
89	@Jay_Qi37__China @EnzoMazak @eille68577793 @andrewbogut Your country ruins the world.  Heard of corona virus. Hope it's wipes out u shit cunts	2	1233637273620471808
90	We can appease the scumbag COMMIE CHINKS until doomsday by renaming the virus, but when all is said and done there has to be a reckoning for the problems they've inflicted on the world.	2	1237985655826726912
91	Watching the #WHO response to #ChinaVirus is a lot like watching my 15 year old son wash dishes. Minimal amount of effort to make it appear he is doing something &amp; at the end I look at his work and everything is clearly dirty as fuck. #Coronavirustruth #WHOLiedPeopleDied	0	1246586547316506624
92	Damned if you do, damned if you dont...,. Scientists question China’s decision not to report symptom-free coronavirus cases https://t.co/GDidJJzizF	0	1230893114036019200
93	“Because half a dozen grasshoppers under a fern make the field ring with their importunate chink, whilst thousands of great cattle... chew the cud and are silent, pray do not imagine that those who make the noise are the only inhabitants of the field.”	0	1246054612894973953
94	"""In the West, China is seen as far and removed, and the Sinophobia there tends to be borne out of unfamiliarity. But in Asia and South East Asia it's borne out of too much familiarity.” Analysis written by @tessa_wong 👇"	0	1230298094660657152
95	We are not diseased.  We are not scapegoats.  We are not a virus.  We are Asian-Americans tired of the anti-Asian sentiment from COVID-19.   Tell your story and join the collective of pan-asian youth retaking our narrative.  #IAmNotaVirus https://t.co/TQQ8YkdF2e	1	1247281556345012224
96	"https://t.co/B8kmGm3ASY “another epidemic has been spreading more quickly...: racist fear-mongering.”   “this bias against Asians is nothing new; that the engine of white supremacist culture and language continually hums underground until something like [this] makes it visible,"""	1	1231161514708459526
97	@rdrhwke @Alt1J The losers have a problem with anyone working to stop the Chinese virus The losers have #JaredKushnerForPrison trending and the guy is working his ass off and all the losers do is attack #DemocratsAreDestroyingAmerica	0	1246136012432179203
98	@_kayyyyyla_ So how is it calling a Chinese Viruses gonna cause multiple Asians getting assaulted when it originate… https://t.co/kvyqzmaCSZ	0	1240690999900307456
99	I would especially urge my fellow Jewish friends in the US to patronise their local Chinese restaurants/takeouts EXTRA atm. American Jews have a historic special bond with American Chinese food places. We need to help counteract this racist &amp; ignorant paranoia re: coronavirus	1	1230492637184000001
100	@PDChinaBusiness China should be held accountable	0	1251156630227398661
101	China is saving the world! 😡😡 Bitch Chinese Communist party and Chinese People spreaded #COVID2019 to more than 200 countries &amp; killing thousands of people Fuck China and Fuck every chinese who eat bats We will never Never Forgive You #ChineseVirus19 #ChinaLiedPeopleDied https://t.co/RMZfpLYIQP	2	1246459621524377601
102	Hi guys! Do you want to fuck me? I can kneel #Wichita Falls  #maturemilf #coronavirus https://t.co/lsIIOyTEAx	0	1230588415458107396
103	@TheSun This isn't racist you fucking morons!!!! It's the Truth! Oh wait a minute this is The Sun Newspaper page. .Oh yeah, all your journalists write BULLSHIT! Maybe when you get the virus you would also hate the filthy Chinese for what their wet markets have done.	2	1244273444826632192
104	Tonight is my last night of my long vacation in China. Tomorrow night I have to go to bed knowing I have to teach 50+ students Public Speaking online the following morning. How the fuck do you do that? #noclue #China #coronavirus #onlineteaching #FAIL	0	1231252199520423936
105	Short thread reminding of the strong association in China (and other countries that experienced C19 imperial aggres… https://t.co/HnmYBiqsbV	0	1233182756361793537
106	Feb 28th, 2020 - COVID-19  Update $GNBT ... Finalization of the deal next week.  20% Royalty Each Dose Vaccine that… https://t.co/nwYGcpVRd8	0	1233236160329199622
107	@dagenmcdowell Is there any way to verify that the Chinese didn't execute a bunch of political prisoners and blame… https://t.co/aqVAP2Xnm1	0	1235184741927788547
108	“The Canadian government did not explain why the Wuhan lab was chosen, in particular, as a research partner.” #Chinada #Trudeau #WuhanVirus	0	1251024887025528832
109	And y’all mad cause trump call it the Chinese virus. I mean it did originate in those markets where they eating bat… https://t.co/fKCNRilaBk	0	1240781045106200576
110	#ChineseVirus is trending on Twitter wish y’all clung to common sense as hard as you cling to this racism #RacismIsAVirus	1	1240088193824886784
111	Do your part to speak out against racist language and ideas that associate Asian people with COVID-19 stigma. #WashTheHate #UtahWashTheHate https://t.co/Sp2DoWf1cG	1	1245446140402659329
112	@R_S_S___ @XHNews so how do we wuhan people against the virus？by useing the useless masks？funny mud pee and go fucking yourself	2	1244278568856645638
113	@chaniapost Say to China:not to eat animals/not to kill animals Eating animals,animal“products” make sick/die:corona virus God sees everything.Coronavirus because people/are cruel to animal FORBID EATING ANIMALS FORBID CRUELTY TO ANIMALS  FORBID KILLING ANIMALS URGENT https://t.co/r7SuOODD0H	0	1246435376778149888
114	#NoMeat_NoCoronaVirus Corona virus is the main cause of China's meat market, because eating meat is against God's l… https://t.co/zRrYWZ5r4v	0	1223810442771890178
115	...helping hands like the #HongKongPolice to beat the absolute shit out of innocent passengers??? 🤬🤬🤬 #721YuenLong #YuenLongDarkNight  #coronavirus	0	1230621128126869505
116	They say it's racist to call it #ChineseVirus or #WuhanVirus, what's mind-blowing is that nobody thought it was rac… https://t.co/Lta3RYFJtR	0	1243389330749448194
117	Love how people are starting to call it the CCP virus cuz its the Chinese governments fault we're all stuck inside cuz theyre power mad fuck heads.	0	1245497008388853761
118	@RepAdamSchiff Ignorance must be bliss. The Chinese virus has killed people all over the world because the Chinese… https://t.co/xmSVn0fUXt	0	1241508976971390977
119	"You dumb ass commies have made yourselves look like total idiots by blaming everything and nothing on President Trump. have you ever heard of "" the boy who cried wolf""."	0	1233098166142029824
120	@SenSchumer @NancyPelosi &lt;&lt;&lt;&lt;These two idiots 1st bitch bc he closed boders from china..now thay want 3 times more the money to fight the coronavirus. But the biggest part of that money goes into their own pockets.	0	1232986034117410816
121	Every member of the Executive, Federal, State &amp; Local Governments who failed to heed the  @CDCgov @WHO warnings about #COVID19 #COVID19Pandemic MUST REFUSE ANY &amp; ALL MEDICAL TREATMENT + SIGN A DNR https://t.co/KtbRgqthLX	0	1245845509014614016
122	@COVID_19NEWS I'm so fucked I warned ppl about coronavirus but ppl didn't listen because president Moon said coronavirus will soon end. Don't come to east asia guys. It's like three countries are betting who's falling first	0	1230295508075208705
123	So it's basically a pandemic in Italy now. Not that you'd know from the WHO.   #CoronaVirus #WuFlu #CoVid19	0	1232251604109348865
124	@RogueTeamXmen Would you take it if you had the Chinese virus? I bet you would....I mean I know you are rooting for the virus but to save your own ass you’d gobble that pill like it was Obama’s tit!	0	1245200062801739776
125	@realDonaldTrump THE CHINESE VIRUS!!??!! What is WRONG with you? #RacismIsAVirus #DumpTrump2020 #VoteBlue2020	1	1239697785580064768
126	@1776Stonewall There's a doctor who treats 1000's of Lupus patients with HCQ and has sent a letter to the FDA sayin… https://t.co/RSUSczIJIw	0	1247718475373654017
127	It’s really unnecessary and it’s going too far. As hate is being spread through racist mentality... there’s a virus out there that’s spreading and killing people. Attacking people and tryna find someone to blame isn’t helping with what’s going on. WE ARE ALL AFRAID.	0	1234369220382576642
128	@x_xinhua True you chinese people are a wirld threat. Creating virus and spreading across the world. This is the wa… https://t.co/HHvEJWQATe	0	1241957388179079168
129	The Gray Plague: What The Fuck Is Going On In #Qom? #CoronaVirus #WuFlu https://t.co/QvRtzNhK98	0	1230292697694580736
130	#ColonaVirus #CoronaVirus #ChineseTourists  😂😂😂 colon-a vrius 😂😂😂 笑死我啦!!!   #MustWatch #爆笑   Chinese Tourist Caught Shitting On Owners Property - New Zealand - https://t.co/Yu3vr6KuJQ	0	1230552790973345807
131	@emerysmith33 @ConsciousExpos @YourMotherGaia @JChurchRadio Good to see you still kicking ass Emery! I’d love to hear your 2cents on coronavirus, if you think it’s real, the bioweapons theory, your experiences with similar things in the past, and best advice to stay safe. Thank you and I’m so glad to follow you!🤝🎩	0	1233114824629944320
132	Ok, now Russia officially on quarantine because some random Chinese bastard ate a fucking bat few month ago. Awesome.  #fuckchina	2	1244555427481878528
133	Diagnostics, vaccines, therapeutics. The trinity of weapons against #Covid_19. ⏳⏳⏳ They take time! Leadership, trus… https://t.co/rItMGinSJ7	0	1235243691293331456
134	@WatchdogsU @AnnLinde Swedish sanctions would not be affective. Since we are a small country. Would be like piss in rhe ocean. I would tell the chinese ambassador that he is not welcome in Sweden and fuck of to China. And hope he gets the coronavirus.	2	1232287544538210305
135	Valerie Chow was mobilizing her tv production co, Thirsty Tiger to launch #becool2asians + combat anti-Asian COVID-19 hate when she was attacked for being Asian. She’s now channeling fear + anger into producing positive messaging about the Coronavirus. Stay tuned for our videos! https://t.co/1gZUy0AfMv	1	1243387874021527553
136	Great news #FuckChina #Huawei #CCP the real virus	0	1247212389772091400
137	Fear of it could be dangerous and more fatal than the virus itself... https://t.co/8Y3SryQmqQ	0	1227728871602245632
138	ive seen so many NY articles that have an asian person in Flushing as the main picture its so fucked	0	1237251360900485121
139	@T_R_0_V_3_R Not to make light of a terrible situation, but from a cursory glance online, it looks like some of them are having a bad time right now because their operation is based on overcharging people on shit from China, and the supply-line is cut off right now because of the coronavirus.	0	1231350467416018945
140	@robbiecrazydude @Sayed_ibrahimi @FirstSquawk Viruses don't care what country anyone comes from. All the China haters over Covid19 are either bots or sockpuppets, or they have shit for brains.	1	1238121375207997441
141	#IAmNotAVirus #我不是病毒  Believe in science,not rumors，GO China! https://t.co/wfbojTGtjw	1	1227058398153195522
142	#chinesevirus #fuckyouchina #bombChina fuck you trash China #COVID2019	2	1246329652446203905
143	@oopsimple @SJofficial China escaping UNSC,disrupting the world china is criminal.doing all fake PR with its fake virus masks fooling the world  https://t.co/lrCu8DYYhg	0	1244174906553597959
144	"""Instead of disposing of the test animals, they sell them to make extra cash. One Beijing researcher, made a million dollars selling his monkeys and rats on the live animal market, which eventually wound up in someone’s stomach."" #COVID19 #wuhanflu https://t.co/zDctwt96Li"	0	1232346422143373312
145	Being Asian in America is worse than being black as we speak now. #COVIDー19 #RacismIsAVirus #CoronavirusUSA	1	1242484737530187778
146	New bank loans in China rose more than expected to a record high in January, as authorities step up support for an economy hit by trade tensions and facing a new threat from a fast-spreading coronavirus outbreak. https://t.co/gh6cetyXs1	0	1230439378918367232
147	Asian American Celebrities Unite Against Bigotry In #WashTheHate Campaign ~ @WashTheHate   https://t.co/epryqx9Zsi https://t.co/hZzKuGjgcF	1	1244464813578870784
148	There's already a cure for the over-hyped Coronavirus.  We just have to wait for the guys who designed this bioweapon to release it... after their agenda has been successful.   PS - @donlemon is a little bitch	0	1238083823541329922
149	$NCLH NEW ARTICLE : Norwegian Cruise Line cancels Asia voyages due to coronavirus https://t.co/xn5ICNohiI Get all the latest $NCLH related news here : https://t.co/AiGD0NUvnP https://t.co/CAH26bpV7p	0	1230509727550930945
150	Hi! Please vote petition to free muslims in China (it's very easy to do) I'm not muslim, but Let's be humans Share #coronavirus #Covid_19 #Uighurs #uighurmuslims #coronaviruswuhan #WuhanCoronovirus #CoronavirusOutbreak #COVID2019 #MuslimTwitter #Muslim https://t.co/NPIdWGKJzo	0	1231556283901317120
151	@AdamYoungHK @StandNewsHK Fuck all fake rubbish 76 ass hole hk fucking popo wish all they can get corona wuhan virus asap and die immediately	2	1245002984238407687
152	@dancezaizai @SteveTheDuckBoi @NineAttributes @RealSaavedra Keep eating bats, and rats, and dogs, and cats and tell us what a civilized country you come from. China owns this pandemic and the entire works knows it! #STFU #KungFlu #FU 🖕🏻 https://t.co/6YEhQRSTkw	2	1244154521007382533
153	@yiq_wang @TalbertSwan @realDonaldTrump That is not the opinion of chinese officials to Trump calling it the China… https://t.co/FoShCLcPVw	0	1243954069510684674
154	fuck china	2	1245198606765711362
155	STOP CALLING IT THE CHINESE VIRUS! #spreadfactsnotfear #COVID19 #RacismIsAVirus	1	1241852358771916802
156	1. EVERY ASIAN PERSON YOU SEE IS NOT CHINESE 2. EVERY ASIAN PERSON YOU SEE IS NOT PERSONALLY RESONSIBLE FOR THE VIRUS 3. STOP BEING RACIST AND MAKING THINGS HARDER FOR YOUR NEIGHBORS.   We are all in this together. Be kind. We are all human.	1	1244412849088122880
157	"@Aurora15r @SperryTheKid @WhoDatTrap Not u trying to say im justifying racism when you're retweeting shit saying ""wuhan"" virus. Bc comprehending is hard 4 u, blacks experienced worst hand of racism before being racist to anyone. ""Blacks yet wonder why the world hates them"" we've been hated, so how tf it make sense?"	0	1244652889701855233
158	Ur telling me the most densely populated place in the world the virus just stopped? Yeah fuck off homie. Also cellphone service went down in Wuhan for the past three months? Yeah okay.	0	1246504604361281542
159	The Hong Kong government had decided to postpone the school dates for the 5th time , adding 34 more days to the corona break . At the same time , they did not postpone the DSEs . What the fuck ? #HongKong #coronavirus #coronaviruschina #Covid_19	0	1232236887756066816
160	The #CCP Going to stick his ass in the prison where the #coronavirus #CoronaOutbreak #CoronavirusOutbreak is.	0	1230682105249550336
161	@NBCNews Chinese Virus. They made it, released it, and hid it. It is time they own it.	0	1239902579611643906
162	The MSM gives you disinfectants that MAY kill the virus.  The disinfectant that KILLS the virus is Virkon S. It's being used by many Asian countries governments including China.  Ask yourself why Virkon S wasn't on this list? #coronavirus https://t.co/SengnW4vpW	0	1233653358071672834
